time,src,dst,proto,sport,dport,len
2026-05-01 17:02:14,192.168.0.42,35.186.224.33,TCP,50122,443,97
2026-05-01 17:02:14,192.168.0.10,239.255.255.250,UDP,39400,1900,188
2026-05-01 17:02:14,192.168.0.10,239.255.255.250,UDP,39400,1900,188
2026-05-01 17:02:14,35.186.224.33,192.168.0.42,TCP,443,50122,54
2026-05-01 17:02:14,35.186.224.33,192.168.0.42,TCP,443,50122,94
2026-05-01 17:02:14,192.168.0.42,35.186.224.33,TCP,50122,443,54
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,55181,443,1494
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,55181,443,896
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,55181,443,1062
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,66
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,55181,443,1494
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,66
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,55181,54
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,54
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,982
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,55181,66
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,56
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,54
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,998
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,56
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,54
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,134
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,1494
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,897
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,1494
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,467
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,56
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,56
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,513
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,54
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,55181,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,55181,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,55181,143
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,55181,443,54
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,66
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,1514
2026-05-01 17:02:15,13.107.137.11,192.168.0.42,TCP,443,56986,103
2026-05-01 17:02:15,192.168.0.42,13.107.137.11,TCP,56986,443,54
2026-05-01 17:02:15,192.168.0.42,52.105.167.25,TCP,55182,443,1514
2026-05-01 17:02:15,192.168.0.42,52.105.167.25,TCP,55182,443,908
2026-05-01 17:02:15,52.105.167.25,192.168.0.42,TCP,443,55182,54
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,66
2026-05-01 17:02:15,52.105.167.25,192.168.0.42,TCP,443,55182,1514
2026-05-01 17:02:15,52.105.167.25,192.168.0.42,TCP,443,55182,1514
2026-05-01 17:02:15,52.105.167.25,192.168.0.42,TCP,443,55182,1514
2026-05-01 17:02:15,52.105.167.25,192.168.0.42,TCP,443,55182,1514
2026-05-01 17:02:15,52.105.167.25,192.168.0.42,TCP,443,55182,1095
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,54
2026-05-01 17:02:15,192.168.0.42,52.105.167.25,TCP,55182,443,54
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,613
2026-05-01 17:02:15,192.168.0.21,224.0.0.251,UDP,5353,5353,81
2026-05-01 17:02:15,192.168.0.42,239.255.255.250,UDP,59724,1900,212
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,56
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,1514
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,1514
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,54
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,1514
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,1514
2026-05-01 17:02:15,20.189.173.4,192.168.0.42,TCP,443,56987,469
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,54
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,134
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,1207
2026-05-01 17:02:15,192.168.0.42,20.189.173.4,TCP,56987,443,1451
2026-05-01 17:02:15,192.168.0.42,239.255.255.250,UDP,59726,1900,212
2026-05-01 17:02:16,192.168.0.10,192.168.0.42,UDP,1900,59724,378
2026-05-01 17:02:16,192.168.0.10,192.168.0.42,UDP,1900,59726,378
2026-05-01 17:02:16,160.79.104.10,192.168.0.42,UDP,443,57255,80
2026-05-01 17:02:16,192.168.0.176,192.168.0.42,UDP,1900,59724,529
2026-05-01 17:02:16,192.168.0.42,160.79.104.10,UDP,57255,443,87
2026-05-01 17:02:16,20.189.173.4,192.168.0.42,TCP,443,56987,157
2026-05-01 17:02:16,20.189.173.4,192.168.0.42,TCP,443,56987,56
2026-05-01 17:02:16,20.189.173.4,192.168.0.42,TCP,443,56987,56
2026-05-01 17:02:16,20.189.173.4,192.168.0.42,TCP,443,56987,500
2026-05-01 17:02:16,192.168.0.42,20.189.173.4,TCP,56987,443,54
2026-05-01 17:02:16,192.168.0.42,185.25.182.20,TCP,60335,27022,113
2026-05-01 17:02:16,192.168.0.42,224.0.0.251,UDP,5353,5353,87
2026-05-01 17:02:16,192.168.0.42,10.1.244.31,UDP,50136,161,120
2026-05-01 17:02:16,185.25.182.20,192.168.0.42,TCP,27022,60335,54
2026-05-01 17:02:16,192.168.0.24,224.0.0.251,UDP,5353,5353,218
2026-05-01 17:02:16,192.168.0.50,224.0.0.251,UDP,5353,5353,213
2026-05-01 17:02:16,192.168.0.10,239.255.255.250,UDP,49640,1900,432
2026-05-01 17:02:16,192.168.0.176,192.168.0.42,UDP,1900,59726,529
2026-05-01 17:02:16,192.168.0.42,192.168.0.50,TCP,56988,4070,66
2026-05-01 17:02:16,192.168.0.42,239.255.255.250,UDP,59724,1900,212
2026-05-01 17:02:16,192.168.0.10,192.168.0.42,UDP,1900,59724,378
2026-05-01 17:02:16,192.168.0.42,239.255.255.250,UDP,59726,1900,212
