time,src,dst,proto,sport,dport,len
2026-04-25 15:19:36,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:36,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,52.123.137.10,192.168.0.42,TCP,443,52618,66
2026-04-25 15:19:37,135.225.244.9,192.168.0.42,TCP,443,54388,66
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,382
2026-04-25 15:19:37,18.97.36.9,192.168.0.42,TCP,443,56827,54
2026-04-25 15:19:37,18.97.36.9,192.168.0.42,TCP,443,56827,171
2026-04-25 15:19:37,192.168.0.42,172.217.76.95,UDP,63674,443,1292
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,65287,67
2026-04-25 15:19:37,52.123.137.10,192.168.0.42,TCP,443,52618,93
2026-04-25 15:19:37,192.168.0.42,52.123.137.10,TCP,52618,443,66
2026-04-25 15:19:37,135.225.244.9,192.168.0.42,TCP,443,54388,93
2026-04-25 15:19:37,192.168.0.42,135.225.244.9,TCP,54388,443,66
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,192.168.0.42,18.97.36.9,TCP,56827,443,54
2026-04-25 15:19:37,18.97.36.9,192.168.0.42,TCP,443,56827,66
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,65287,68
2026-04-25 15:19:37,52.123.137.10,192.168.0.42,TCP,443,52618,66
2026-04-25 15:19:37,135.225.244.9,192.168.0.42,TCP,443,54388,66
2026-04-25 15:19:37,18.97.36.9,192.168.0.42,TCP,443,56827,171
2026-04-25 15:19:37,52.123.137.10,192.168.0.42,TCP,443,52618,93
2026-04-25 15:19:37,192.168.0.42,18.97.36.9,TCP,56827,443,66
2026-04-25 15:19:37,192.168.0.42,52.123.137.10,TCP,52618,443,66
2026-04-25 15:19:37,135.225.244.9,192.168.0.42,TCP,443,54388,93
2026-04-25 15:19:37,192.168.0.42,135.225.244.9,TCP,54388,443,66
2026-04-25 15:19:37,18.97.36.9,192.168.0.42,TCP,443,56827,66
2026-04-25 15:19:37,18.97.36.9,192.168.0.42,TCP,443,56827,171
2026-04-25 15:19:37,192.168.0.42,18.97.36.9,TCP,56827,443,66
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,65287,70
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,65287,70
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,63674,1292
2026-04-25 15:19:37,192.168.0.42,172.217.76.95,UDP,63674,443,75
2026-04-25 15:19:37,192.168.0.42,172.217.76.95,UDP,63674,443,71
2026-04-25 15:19:37,192.168.0.42,172.217.76.95,UDP,63674,443,71
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,65287,70
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,63674,1292
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,172.217.76.95,192.168.0.42,UDP,443,63674,94
2026-04-25 15:19:37,192.168.0.42,172.217.76.95,UDP,63674,443,74
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,272
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:37,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:37,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,10.1.244.31,UDP,50136,161,120
2026-04-25 15:19:38,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,192.168.0.42,35.186.247.105,TCP,54302,443,54
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
2026-04-25 15:19:38,35.186.247.105,192.168.0.42,TCP,443,54302,1466
