time,src,dst,proto,sport,dport,len
2026-05-01 17:49:18,52.105.167.25,192.168.0.42,TCP,443,56172,1514
2026-05-01 17:49:18,52.105.167.25,192.168.0.42,TCP,443,56172,1514
2026-05-01 17:49:18,52.105.167.25,192.168.0.42,TCP,443,56172,1514
2026-05-01 17:49:18,52.105.167.25,192.168.0.42,TCP,443,56172,1514
2026-05-01 17:49:18,52.105.167.25,192.168.0.42,TCP,443,56172,1094
2026-05-01 17:49:18,192.168.0.42,52.105.167.25,TCP,56172,443,54
2026-05-01 17:49:18,192.168.0.42,20.189.173.27,TCP,52963,443,127
2026-05-01 17:49:18,192.168.0.42,20.189.173.27,TCP,52963,443,1195
2026-05-01 17:49:18,192.168.0.42,20.189.173.27,TCP,52963,443,85
2026-05-01 17:49:18,20.189.173.27,192.168.0.42,TCP,443,52963,54
2026-05-01 17:49:18,20.189.173.27,192.168.0.42,TCP,443,52963,153
2026-05-01 17:49:18,192.168.0.42,20.189.173.27,TCP,52963,443,54
2026-05-01 17:49:19,172.64.148.235,192.168.0.42,TCP,443,49992,78
2026-05-01 17:49:19,192.168.0.42,172.64.148.235,TCP,49992,443,82
2026-05-01 17:49:19,172.64.148.235,192.168.0.42,TCP,443,49992,56
2026-05-01 17:49:19,192.168.0.42,52.7.106.235,TCP,64122,443,54
2026-05-01 17:49:20,192.168.0.42,52.97.219.210,TCP,51430,443,54
2026-05-01 17:49:20,192.168.0.42,20.189.173.27,TCP,52963,443,126
2026-05-01 17:49:20,192.168.0.42,20.189.173.27,TCP,52963,443,1007
2026-05-01 17:49:20,192.168.0.42,20.189.173.27,TCP,52963,443,85
2026-05-01 17:49:20,72.154.7.111,192.168.0.42,TCP,443,56152,54
2026-05-01 17:49:20,20.189.173.27,192.168.0.42,TCP,443,52963,56
2026-05-01 17:49:20,20.189.173.27,192.168.0.42,TCP,443,52963,153
2026-05-01 17:49:20,192.168.0.42,20.189.173.27,TCP,52963,443,54
2026-05-01 17:49:21,192.168.0.42,104.199.65.9,TCP,49236,4070,65
2026-05-01 17:49:21,104.199.65.9,192.168.0.42,TCP,4070,49236,65
2026-05-01 17:49:21,192.168.0.42,104.199.65.9,TCP,49236,4070,54
2026-05-01 17:49:21,192.168.0.42,40.99.213.82,TCP,57902,443,55
2026-05-01 17:49:21,40.99.213.82,192.168.0.42,TCP,443,57902,66
2026-05-01 17:49:22,213.104.24.65,192.168.0.42,UDP,443,58925,73
2026-05-01 17:49:22,192.168.0.42,213.104.24.65,UDP,58925,443,74
2026-05-01 17:49:22,192.168.0.10,239.255.255.250,UDP,58596,1900,366
2026-05-01 17:49:22,192.168.0.10,239.255.255.250,UDP,55413,1900,420
2026-05-01 17:49:22,192.168.0.23,224.0.0.251,UDP,5353,5353,100
2026-05-01 17:49:22,213.104.24.65,192.168.0.42,UDP,443,58925,66
2026-05-01 17:49:22,192.168.0.42,213.104.24.65,UDP,58925,443,74
2026-05-01 17:49:22,192.168.0.40,224.0.0.251,UDP,5353,5353,100
2026-05-01 17:49:23,192.168.0.40,224.0.0.251,UDP,5353,5353,78
2026-05-01 17:49:23,192.168.0.23,224.0.0.251,UDP,5353,5353,86
2026-05-01 17:49:23,192.168.0.42,194.168.4.123,UDP,56032,53,94
2026-05-01 17:49:23,192.168.0.42,52.123.242.9,TCP,57529,443,55
2026-05-01 17:49:23,194.168.4.123,192.168.0.42,UDP,53,56032,126
2026-05-01 17:49:23,52.123.242.9,192.168.0.42,TCP,443,57529,66
2026-05-01 17:49:24,192.168.0.42,150.171.28.10,TCP,50296,443,55
2026-05-01 17:49:24,192.168.0.42,3.173.182.9,TCP,50737,443,55
2026-05-01 17:49:24,150.171.28.10,192.168.0.42,TCP,443,50296,66
2026-05-01 17:49:24,192.168.0.42,150.171.28.12,TCP,51903,443,55
2026-05-01 17:49:24,150.171.28.12,192.168.0.42,TCP,443,51903,66
2026-05-01 17:49:24,3.173.182.9,192.168.0.42,TCP,443,50737,66
2026-05-01 17:49:24,192.168.0.42,52.97.219.210,TCP,51430,443,54
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,898
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,818
2026-05-01 17:49:26,192.168.0.42,13.107.137.11,TCP,52966,443,1494
2026-05-01 17:49:26,13.107.137.11,192.168.0.42,TCP,443,52966,54
2026-05-01 17:49:26,13.107.137.11,192.168.0.42,TCP,443,52966,56
2026-05-01 17:49:26,13.107.137.11,192.168.0.42,TCP,443,52966,56
