time,src,dst,proto,sport,dport,len
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,50535,443,1494
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,50535,443,896
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,50535,443,1062
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,61746,443,1494
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,61746,443,896
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,61746,443,1063
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,50535,54
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,61746,54
2026-05-01 23:29:16,192.168.0.10,239.255.255.250,UDP,39400,1900,188
2026-05-01 23:29:16,192.168.0.10,239.255.255.250,UDP,39400,1900,188
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,50535,1514
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,50535,1514
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,50535,143
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,50535,443,54
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,61746,1514
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,61746,1514
2026-05-01 23:29:16,13.107.137.11,192.168.0.42,TCP,443,61746,94
2026-05-01 23:29:16,192.168.0.42,13.107.137.11,TCP,61746,443,54
2026-05-01 23:29:16,192.168.0.10,239.255.255.250,UDP,39400,1900,188
2026-05-01 23:29:16,192.168.0.10,239.255.255.250,UDP,39400,1900,188
2026-05-01 23:29:16,192.168.0.42,52.105.167.25,TCP,61778,443,1514
2026-05-01 23:29:16,192.168.0.42,52.105.167.25,TCP,61778,443,906
2026-05-01 23:29:16,52.105.167.25,192.168.0.42,TCP,443,61778,54
2026-05-01 23:29:16,52.105.167.25,192.168.0.42,TCP,443,61778,1514
2026-05-01 23:29:16,52.105.167.25,192.168.0.42,TCP,443,61778,1514
2026-05-01 23:29:16,192.168.0.42,52.105.167.25,TCP,61778,443,54
2026-05-01 23:29:16,52.105.167.25,192.168.0.42,TCP,443,61778,1514
2026-05-01 23:29:16,52.105.167.25,192.168.0.42,TCP,443,61778,1514
2026-05-01 23:29:16,52.105.167.25,192.168.0.42,TCP,443,61778,1093
2026-05-01 23:29:16,192.168.0.42,52.105.167.25,TCP,61778,443,54
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,898
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1494
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,1106
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,54
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,66
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,56
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,1514
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,1480
2026-05-01 23:29:17,13.107.137.11,192.168.0.42,TCP,443,61745,159
2026-05-01 23:29:17,192.168.0.42,13.107.137.11,TCP,61745,443,54
2026-05-01 23:29:18,192.168.0.42,52.105.167.25,TCP,61778,443,1514
