time,src,dst,proto,sport,dport,len
2026-04-25 15:14:08,192.168.0.42,13.107.137.11,TCP,58553,443,531
2026-04-25 15:14:08,192.168.0.42,104.18.2.115,TCP,58550,443,326
2026-04-25 15:14:08,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:08,192.168.0.42,52.105.167.25,TCP,58540,443,54
2026-04-25 15:14:08,192.168.0.42,74.178.130.41,TCP,56623,443,55
2026-04-25 15:14:09,192.168.0.42,194.168.8.123,UDP,53890,53,72
2026-04-25 15:14:09,192.168.0.42,194.168.8.123,UDP,61699,53,72
2026-04-25 15:14:09,192.168.0.42,172.217.76.95,UDP,65287,443,71
2026-04-25 15:14:09,192.168.0.42,172.217.76.95,UDP,49315,443,1292
2026-04-25 15:14:09,192.168.0.42,13.107.137.11,TCP,58553,443,531
2026-04-25 15:14:09,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:09,192.168.0.42,104.18.2.115,TCP,58550,443,326
2026-04-25 15:14:09,192.168.0.42,172.217.76.95,UDP,49315,443,1292
2026-04-25 15:14:09,192.168.0.42,52.105.167.25,TCP,58540,443,54
2026-04-25 15:14:10,192.168.0.42,172.217.76.95,UDP,49315,443,1292
2026-04-25 15:14:10,192.168.0.42,172.217.76.95,UDP,65287,443,71
2026-04-25 15:14:10,192.168.0.42,192.178.223.188,TCP,60895,5228,55
2026-04-25 15:14:10,192.168.0.42,192.178.223.188,TCP,52902,5228,55
2026-04-25 15:14:10,192.168.0.42,104.18.2.115,TCP,58550,443,326
2026-04-25 15:14:10,192.168.0.42,172.217.76.95,UDP,65287,443,71
2026-04-25 15:14:11,192.168.0.42,194.168.4.123,UDP,61699,53,72
2026-04-25 15:14:11,192.168.0.42,194.168.4.123,UDP,53890,53,72
2026-04-25 15:14:11,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:11,192.168.0.42,13.107.137.11,TCP,58553,443,531
2026-04-25 15:14:11,192.168.0.40,224.0.0.251,UDP,5353,5353,78
2026-04-25 15:14:11,192.168.0.42,104.18.2.115,TCP,58550,443,326
2026-04-25 15:14:12,104.18.2.115,192.168.0.42,TCP,443,58550,622
2026-04-25 15:14:12,192.168.0.42,104.18.2.115,TCP,58550,443,66
2026-04-25 15:14:12,192.168.0.42,52.105.167.25,TCP,58540,443,54
2026-04-25 15:14:12,192.168.0.36,224.0.0.251,UDP,5353,5353,137
2026-04-25 15:14:12,34.149.66.154,192.168.0.42,TCP,443,55201,54
2026-04-25 15:14:12,34.149.66.154,192.168.0.42,TCP,443,55201,54
2026-04-25 15:14:12,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:12,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:12,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:12,192.168.0.42,172.217.76.95,UDP,65287,443,71
2026-04-25 15:14:12,192.168.0.42,104.199.65.9,TCP,49249,4070,65
2026-04-25 15:14:12,192.168.0.42,35.186.224.39,TCP,60593,443,97
2026-04-25 15:14:13,34.149.66.154,192.168.0.42,TCP,443,55201,82
2026-04-25 15:14:13,194.168.4.123,192.168.0.42,UDP,53,61699,147
2026-04-25 15:14:13,192.168.0.42,104.199.65.9,TCP,49249,4070,65
2026-04-25 15:14:13,194.168.4.123,192.168.0.42,UDP,53,53890,147
2026-04-25 15:14:13,172.217.76.95,192.168.0.42,UDP,443,65287,67
2026-04-25 15:14:13,52.105.167.25,192.168.0.42,TCP,443,58540,54
2026-04-25 15:14:13,192.168.0.42,52.105.167.25,TCP,58540,443,54
2026-04-25 15:14:13,172.217.76.95,192.168.0.42,UDP,443,65287,68
2026-04-25 15:14:13,104.18.2.115,192.168.0.42,TCP,443,58550,66
2026-04-25 15:14:13,13.107.137.11,192.168.0.42,TCP,443,58553,66
2026-04-25 15:14:13,34.149.66.154,192.168.0.42,TCP,443,55201,82
2026-04-25 15:14:13,34.54.194.141,192.168.0.42,TCP,443,50711,66
2026-04-25 15:14:13,192.168.0.42,35.186.224.39,TCP,60593,443,97
2026-04-25 15:14:13,52.105.167.25,192.168.0.42,TCP,443,58540,54
2026-04-25 15:14:13,52.105.167.25,192.168.0.42,TCP,443,58540,54
2026-04-25 15:14:13,52.105.167.25,192.168.0.42,TCP,443,58540,54
2026-04-25 15:14:13,192.168.0.42,52.105.167.25,TCP,58540,443,54
2026-04-25 15:14:13,192.168.0.42,34.149.66.154,TCP,55201,443,1466
2026-04-25 15:14:13,192.168.0.42,104.199.65.9,TCP,49249,4070,65
2026-04-25 15:14:13,192.168.0.42,35.186.224.39,TCP,60593,443,97
2026-04-25 15:14:13,192.168.0.42,155.133.248.43,TCP,56218,27018,113
2026-04-25 15:14:13,74.178.130.41,192.168.0.42,TCP,443,56623,66
2026-04-25 15:14:13,172.217.76.95,192.168.0.42,UDP,443,65287,70
2026-04-25 15:14:13,194.168.8.123,192.168.0.42,UDP,53,53890,147
2026-04-25 15:14:13,194.168.8.123,192.168.0.42,UDP,53,61699,147
2026-04-25 15:14:13,172.217.76.95,192.168.0.42,UDP,443,65287,70
